,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,RPlant.L2.End.Angle,RPlant.L2.End.Length,RPlant.L2.Mid.Angle,RPlant.L2.Mid.Length,RPlant.L2.Stem.Angle,A1,N1,A2,N2,a,b,c,d,total_blade_length,upblade_length,downblade_length,curled
0,MIH119_1001,3,2,1,2369/LH123HT,2369/LH123HT,,1.0,90.0,46.0,50.0,47.0,31.0,0.024733179246473884,1.9834110521720614,-0.4664627141798298,1.8116701937286976,36.00408882659197,46.0,30.211017655267344,0.0,81.42806639978014,48.96248992488246,32.465576474897674,0.0
1,MIH119_1002,4,2,1,2369/LH123HT,2369/LH123HT,,1.0,75.0,43.0,43.0,48.0,15.0,0.013695043745201203,2.25,-0.23051492939163332,2.1357621964082156,32.735921282999925,41.53481053042994,35.104977677720186,11.129218939408393,77.33124069957698,50.8816967259379,26.449543973639084,0.0
2,MIH119_1003,5,2,1,B37/H95,B73/PHN82,,,43.0,46.0,33.0,65.0,27.0,0.5783931533806084,1.2745341647642496,0.0,0.0,35.401537275976764,31.37192456287493,54.51358691645255,33.64227027448184,65.41166554355394,65.41166554355394,0.0,1.0
3,MIH119_1004,6,2,1,B37/H95,B14A/H95,,,85.0,69.0,48.0,49.0,33.0,0.07008648369884325,1.7101932999594782,-0.15804339065925196,1.4765865379303948,36.41409644839232,68.73743416833044,32.78739971158405,6.013746249588413,93.02321505585132,50.399049371478995,42.624165684372336,0.0
4,MIH119_1005,7,2,1,B37/H95,B73/PHM49,,,90.0,45.0,52.0,39.0,29.0,0.010797268358967603,2.25,-0.10420112859941327,2.046635316378874,30.732419390662155,45.0,24.01079753770067,0.0,70.26566545270097,41.061887930478434,29.20377752222254,0.0
5,MIH119_1006,8,2,1,B37/H95,B37/H95,,1.0,40.0,72.0,40.0,72.0,30.0,0.20948619566962534,1.4533631938113547,0.0,0.0,46.28070789743084,46.28070789743084,55.155199904566416,55.155199904566416,73.13637720640834,73.13637720640834,0.0,1.0
6,MIH119_1007,9,2,1,B37/H95,B73/MO17,,,55.0,50.0,35.0,59.0,15.0,0.017497220983053206,2.25,-0.31417144482426285,2.107567808018244,33.84100974471173,40.95760221444959,48.32997061305051,28.678821817552304,84.11492866051569,62.50239117065921,21.61253748985648,0.0
7,MIH119_1008,10,2,1,B37/H95,B73/PHM49,,,90.0,55.0,54.0,40.0,22.0,0.009413237056862967,2.25,-0.042051308098047004,2.027879122112847,32.3606797749979,55.0,23.511410091698927,0.0,76.20885130452041,42.011790132409274,34.19706117211114,0.0
9,MIH119_1010,12,2,1,B37/H95,B37/H95,,1.0,80.0,51.0,45.0,50.0,23.0,0.011599285600440842,2.25,-0.11800605698775925,2.005729099221672,35.35533905932738,50.22519540362261,35.35533905932737,8.856057061013447,84.62474843552842,52.956365240982535,31.668383194545886,0.0
10,MIH119_1011,13,2,1,B37/H95,B73/PHN82,,,90.0,42.0,55.0,42.0,24.0,0.008403486750126817,2.25,-0.39131287830749445,2.032014365299015,34.40438586013766,42.0,24.090210326743936,0.0,69.99458800604005,44.05356865384797,25.941019352192072,0.0
