,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,LPlant.L1.End.Angle,LPlant.L1.End.Length,LPlant.L1.Mid.Angle,LPlant.L1.Mid.Length,LPlant.L1.Stem.Angle,A1,N1,A2,N2,a,b,c,d,total_blade_length,upblade_length,downblade_length,curled
0,MIH119_1001,3,2,1,2369/LH123HT,2369/LH123HT,,1.0,60.0,64.0,45.0,64.0,21.0,0.008519591661447324,2.25,-0.10811446948722606,2.0732422592858404,45.254833995939045,55.42562584220408,45.25483399593904,31.999999999999996,85.3389189766037,67.78414750845766,17.55477146814604,0.0
1,MIH119_1002,4,2,1,2369/LH123HT,2369/LH123HT,,1.0,45.0,53.0,36.0,69.0,15.0,0.013447892824394427,2.25,0.0,0.0,40.557182408180644,37.47665940288702,55.82217261187137,37.476659402887016,73.12839387368591,73.12839387368591,0.0,1.0
2,MIH119_1003,5,2,1,B37/H95,B73/PHN82,,,65.0,71.0,45.0,56.0,20.0,0.010067200392332878,2.25,-0.01558696667500219,2.001439016376074,39.59797974644666,64.34785287960214,39.597979746446654,30.00589658358966,86.35428661107615,59.31112906990044,27.043157541175702,0.0
3,MIH119_1004,6,2,1,B37/H95,B14A/H95,,,70.0,48.0,50.0,58.0,22.0,0.00731494525225066,2.25,0.0,0.0,44.43057770090073,45.105245797723605,37.281681361819274,16.4169668796321,61.19669856614217,61.19669856614217,0.0,1.0
4,MIH119_1005,7,2,1,B37/H95,B73/PHM49,,,90.0,57.0,15.0,56.0,26.0,0.1484759573083907,1.8202428010348823,-0.18181446878776705,1.616046664906719,24.548784220188338,57.0,50.332466592753356,0.0,118.93922241906024,57.65498348567943,61.284238933380806,0.0
5,MIH119_1006,8,2,1,B37/H95,B37/H95,,1.0,59.0,81.0,50.0,72.0,20.0,0.005582522105693667,2.25,-0.013482426067045661,2.190780803009542,55.155199904566416,69.43055135687109,46.28070789743083,41.718084067714386,91.21460631698729,75.96831546141787,15.24629085556942,0.0
6,MIH119_1007,9,2,1,B37/H95,B73/MO17,,,37.0,61.0,25.0,70.0,14.0,0.11249619696660484,1.8702578644898193,-0.5680097076522432,1.657448210603026,29.58327832184896,36.71071641227495,63.4415450925655,48.71676611288486,88.87628489469719,72.1666883239223,16.70959657077489,0.0
7,MIH119_1008,10,2,1,B37/H95,B73/PHM49,,,90.0,63.0,58.0,47.0,23.0,0.0062393780026074475,2.25,-0.039246551038762366,2.054026886686105,39.85826051935202,63.0,24.90620541896063,0.0,84.76230648454853,49.08178614175136,35.68052034279718,0.0
8,MIH119_1009,11,2,1,B37/H95,B73/MO17,,,55.0,45.0,23.0,62.0,15.0,0.36602512228030754,1.584161580627706,-0.9809205403298095,1.3646723171624553,24.22532996633497,36.86184199300463,57.07130091405131,25.810939635797073,96.9339852773048,62.98611659142633,33.94786868587846,0.0
9,MIH119_1010,12,2,1,B37/H95,B37/H95,,1.0,80.0,67.0,46.0,75.0,24.0,0.006604546335394347,2.25,-0.23275721930619941,2.0736136058247268,53.95048502539884,65.98211945181794,52.099377784424796,11.634427903684331,122.73253480229705,79.3889607615356,43.34357404076145,0.0
