,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,LPlantL2.End.Angle,LPlantL2.End.Length,LPlantL2.Mid.Angle,LPlantL2.Mid.Length,LPlantL2.Stem.Angle,A1,N1,A2,N2,a,b,c,d,length,curled
0,MIH119_1001,3,2,1,2369/LH123HT,2369/LH123HT,,1.0,51,32.0,25.0,49.0,15.0,0.22751342276838038,1.740283872192915,-3.7927950371460666,1.302023618565561,20.708294825294274,24.86867076662307,44.40908156479585,20.1382525135948,74.86705236080832,0.0
1,MIH119_1002,4,2,1,2369/LH123HT,2369/LH123HT,,1.0,83,40.0,46.0,49.0,19.0,0.0007570604401613372,3.00739840147363,-1.9267899065207457,1.818836160675088,35.24765021659391,39.70184606565288,34.038260152490864,4.874773736205899,83.31887877543565,0.0
2,MIH119_1003,5,2,1,B37/H95,B73/PHN82,,,47,39.0,25.0,54.0,18.0,0.5498553440886226,1.4351474027623847,-2.1769947528472597,1.3377008776572745,22.82138613399777,28.522794363147646,48.9406204999791,26.59793604243744,77.71296953086382,0.0
3,MIH119_1004,6,2,1,B37/H95,B14A/H95,,,78,39.0,45.0,43.0,26.0,0.02769799206067838,2.050303841579296,-1.0773603625416897,1.4804159955752776,30.405591591021544,38.14775642861842,30.40559159102154,8.108555941892613,68.90630943549782,0.0
6,MIH119_1007,9,2,1,B37/H95,B73/MO17,,,59,44.0,35.0,56.0,14.0,0.0026911943173747238,2.808379043769577,-2.3111899309330286,1.3397254373989855,32.120280435658586,37.715361230892945,45.87251448018354,22.661675296042382,84.79167396798348,0.0
8,MIH119_1009,11,2,1,B37/H95,B73/MO17,,,65,46.0,35.0,53.0,12.0,0.0005659179288108907,3.294217467145187,-0.11152000289691981,2.215598568802765,30.399551126605445,41.6901582036859,43.41505834731657,19.440440040072176,86.42051179190643,0.0
9,MIH119_1010,12,2,1,B37/H95,B37/H95,,1.0,68,47.0,35.0,63.0,10.0,3.3577005664699064e-05,3.9710742814079976,-0.5200530462524495,2.082613393031734,36.13531549011591,43.57764116463901,51.606578790206484,17.606509890547866,106.68684600888574,0.0
10,MIH119_1011,13,2,1,B37/H95,B73/PHN82,,,75,56.0,40.0,52.0,11.0,1.049925296948933e-05,4.316793377372281,-7.67822384479621e-05,4.1957407180734645,33.42495570370005,54.09184627218782,39.834311042186854,14.493866525741161,96.7664076224251,0.0
11,MIH119_1012,14,2,1,B37/H95,B14A/H95,,,57,48.0,34.0,53.0,17.0,0.024868851398635088,2.206217948503905,-0.1768993306977077,1.9516994932923453,29.63722388394958,40.256187261380354,43.938991345417215,26.142673680721295,77.55942537757493,0.0
12,MIH119_1013,15,2,1,B37/MO17,B37/MO17,,1.0,35,46.0,18.0,62.0,9.0,0.1379926919061751,2.051462224238267,-0.3070642890442292,2.143332139760371,19.159053651246744,26.384516072148124,58.96550401029952,37.68099403729362,86.9983456835524,0.0
