plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,End.Angle,End.Length,Mid.Angle,Mid.Length,Stem.Angle,A1,N1,A2,N2,a,b,c,d,model_leaf_length
MIH119_1001,3,2,1,2369/LH123HT,2369/LH123HT,,1.0,51.0,32.0,25.0,49.0,15.0,0.2275134227683804,1.740283872192915,-3.7927950371460666,1.302023618565561,20.708294825294274,24.868670766623072,44.40908156479585,20.1382525135948,74.86705236080832
MIH119_1002,4,2,1,2369/LH123HT,2369/LH123HT,,1.0,79.0,41.5,44.5,48.5,17.0,0.00047223457591258485,3.243796040881926,-1.573249554475339,1.5942327316692522,33.99178574979692,40.618328298041405,34.571618915105525,8.001996337807146,81.26971592076481
MIH119_1003,5,2,1,B37/H95,B73/PHN82,,,45.0,42.5,29.0,59.5,22.5,0.5641242487346154,1.3548407837633172,-2.17699475284726,1.3377008776572743,29.111461704987267,29.94735946301129,51.72710370821583,30.120103158459642,77.71296953086382
MIH119_1004,6,2,1,B37/H95,B14A/H95,,,81.5,54.0,46.5,46.0,29.5,0.04889223787976082,1.8802485707693872,-0.5595929106023106,1.6697332741779356,33.40984401970694,53.44259529847443,31.596495651302796,7.061151095740513,81.37468709168405
MIH119_1007,9,2,1,B37/H95,B73/MO17,,,57.0,47.0,35.0,57.5,14.5,0.003780209446301494,2.7107945761054704,-1.8481761696510781,1.3456370703727183,32.980645090185156,39.33648172267127,47.101242546617016,25.670248556797347,84.69190012514534
MIH119_1009,11,2,1,B37/H95,B73/MO17,,,65.0,46.0,35.0,53.0,12.0,0.0005659179288108907,3.294217467145187,-0.1115200028969198,2.215598568802765,30.399551126605445,41.6901582036859,43.41505834731657,19.440440040072176,86.42051179190643
MIH119_1010,12,2,1,B37/H95,B37/H95,,1.0,74.0,49.0,40.0,56.5,16.5,0.003993221055019686,3.1634633236158756,-0.6336660423340733,1.7022903837417358,35.745327274721646,46.901418284130806,43.480958924766924,13.231283475780657,95.26561415573357
MIH119_1011,13,2,1,B37/H95,B73/PHN82,,,75.0,56.0,40.0,52.0,11.0,1.0499252969489329e-05,4.316793377372281,-7.67822384479621e-05,4.1957407180734645,33.42495570370005,54.09184627218782,39.834311042186854,14.49386652574116,96.76640762242509
MIH119_1012,14,2,1,B37/H95,B14A/H95,,,52.5,52.5,33.0,62.0,15.5,0.015824339122904964,2.3562160155463685,-0.6522997568444473,1.9321593746638168,33.63074582225356,41.307721156795914,52.07520308626174,32.1415591215881,88.21054758088624
MIH119_1013,15,2,1,B37/MO17,B37/MO17,,1.0,46.0,53.0,29.0,65.5,16.5,0.08980356185699721,1.968055426415951,-0.7860076712323855,1.8468580254800813,31.755699359808986,38.35237507443678,55.9112852927545,35.179668069097616,90.01174058656022
MIH119_1014,16,2,1,B37/MO17,B14A/MO17,,,65.5,75.5,36.0,73.5,22.5,1.0724794598123892,1.9731544080612482,-0.8178121627533106,2.835089581098438,41.71381491374866,66.53143348541602,58.874947116585545,33.02373018121125,117.68078772758457
MIH119_1015,17,2,1,B37/MO17,B37/MO17,,1.0,65.0,56.0,40.0,51.0,21.0,0.018999728092209244,2.185929273368535,-0.002366195359008977,3.0396906234958108,32.78216809401351,50.7532360740524,39.06826659906788,23.66662265747917,79.73858651532396
MIH119_1018,20,2,1,B37/OH43,B14A/OH43,,,81.5,50.5,47.0,55.0,25.0,0.03517729227704106,2.375557759885682,-1.8626573146333214,1.424532205531077,40.00774130403509,49.615879245848646,37.141187028401646,7.472373067676805,89.94391707566564
