,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,RPlant.L1.End.Angle,RPlant.L1.End.Length,RPlant.L1.Mid.Angle,RPlant.L1.Mid.Length,RPlant.L1.Stem.Angle,A1,N1,A2,N2,a,b,c,d,length,curled
0,MIH119_1001,3,2,1,2369/LH123HT,2369/LH123HT,,1.0,65,58.0,55.0,66.0,26.0,0.0003191106328140154,2.9281373445671717,0.0,0.0,54.06403492307346,52.565851648125694,37.85604479916904,24.511859180960567,124.34559227937942,1.0
1,MIH119_1002,4,2,1,2369/LH123HT,2369/LH123HT,,1.0,53,59.0,33.0,63.0,23.0,0.23650216767974683,1.5299084148182651,-0.20444515326533996,1.7411090891274845,34.31225920594672,47.119495092790274,52.83624578056171,35.50708636597085,86.40809731612569,0.0
2,MIH119_1003,5,2,1,B37/H95,B73/PHN82,,,61,62.0,48.0,70.0,25.0,0.003829794179398304,2.381716224055729,-5.696030056706326,1.365425765656658,52.020137783417596,54.22642184264254,46.839142445120075,30.0581964552729,91.39217728804357,0.0
3,MIH119_1004,6,2,1,B37/H95,B14A/H95,,,75,52.0,54.0,58.0,23.0,0.0001297450585090321,3.242552603619055,-3.590503463060353,1.462668670265908,46.92298567374695,50.22814296703155,34.09154463296344,13.458590345331078,84.1877490336322,0.0
4,MIH119_1005,7,2,1,B37/H95,B73/PHM49,,,64,48.0,45.0,60.0,20.0,0.0014313386599604807,2.747477419454622,0.0,0.0,42.42640687119285,43.14211422236002,42.426406871192846,21.041815045875715,113.75662661074128,1.0
5,MIH119_1006,8,2,1,B37/H95,B37/H95,,1.0,85,66.0,47.0,57.0,24.0,0.004872520954495522,2.408579557899663,-0.18460718838164095,1.6316661527659153,41.68716099229272,65.74885007405521,38.87390652356241,5.752279021345439,102.71872655268758,0.0
6,MIH119_1007,9,2,1,B37/H95,B73/MO17,,,35,73.0,20.0,80.0,20.0,2.747477419454619,1.0000000000000002,-0.014975887873019273,2.592419327501806,27.361611466053507,41.87107985362637,75.17540966287267,59.7980992330964,102.77333989205819,0.0
9,MIH119_1010,12,2,1,B37/H95,B37/H95,,1.0,74,69.0,57.0,71.0,29.0,0.00045378733974134707,2.7779899313908105,-1.3210970649234226,1.4103272095177666,59.54561032412511,66.327057019744,38.669371486066915,19.01897755137294,96.6661985433509,0.0
10,MIH119_1011,13,2,1,B37/H95,B73/PHN82,,,75,61.0,40.0,64.0,20.0,0.009309707897409909,2.3054072893322783,-0.4833186365567776,1.4699224221372795,41.13840701993852,58.92147540363317,49.02684435961459,15.787961751253764,106.28247882329234,0.0
11,MIH119_1012,14,2,1,B37/H95,B14A/H95,,,82,62.0,55.0,65.0,33.0,0.005958705197413733,2.1991550787238148,-1.0384147752614197,1.581135926797412,53.244882878784466,61.39662026197736,37.282468362817994,8.628732259524057,98.11754604993602,0.0
12,MIH119_1013,15,2,1,B37/MO17,B37/MO17,,1.0,50,61.0,30.0,69.0,17.0,0.0745280294287749,1.8884276397614113,-0.15696843815712683,1.9467963912058406,34.50000000000001,46.72871103025766,59.75575286112626,39.2100441908789,96.39950092345578,0.0
13,MIH119_1014,16,2,1,B37/MO17,B14A/MO17,,,72,71.0,55.0,64.0,35.0,0.011417650778318062,2.039606729161475,-0.2804966354275683,1.4601170491625661,52.425730834495475,67.5250126569559,36.70889192646695,21.940206600621266,87.9825924815516,0.0
14,MIH119_1015,17,2,1,B37/MO17,B37/MO17,,1.0,60,78.0,50.0,71.0,35.0,0.05075548548635088,1.702000517791175,-0.004494952562481686,2.831550644238139,54.38915546144744,67.54998149518622,45.637920287744286,38.99999999999999,88.45378583860119,0.0
15,MIH119_1016,18,2,1,B37/MO17,B14A/MO17,,,80,53.0,35.0,46.0,15.0,0.0072750909832016075,2.6132101084413635,-0.00047767065528210925,3.382489897039711,26.384516072148124,52.194810909647025,37.68099403729362,9.203353416347307,92.29612151842719,0.0
16,MIH119_1017,19,2,1,B37/OH43,B37/OH43,,1.0,65,71.0,45.0,68.0,30.0,0.058707690536999535,1.732050807568877,-0.23419540083566326,1.5583631802634592,48.083261120685236,64.34785287960214,48.08326112068523,30.00589658358966,94.93919604870464,0.0
17,MIH119_1018,20,2,1,B37/OH43,B14A/OH43,,,85,61.0,55.0,51.0,30.0,0.0028613898989468937,2.4736249084055615,-0.41881146198283353,1.374236673017706,41.776754258738585,60.767876583596475,29.252398253903348,5.316500307607148,84.8912317035079,0.0
18,MIH119_1019,21,2,1,B37/OH43,B37/OH43,,1.0,85,66.0,45.0,50.0,30.0,0.0735279168561381,1.732050807568877,-0.06831376179158877,1.7782994470966733,35.35533905932738,65.74885007405521,35.35533905932737,5.752279021345439,95.37836888113165,0.0
20,MIH119_1021,23,2,1,CG119/CG108,CG119/CG108,,1.0,80,60.0,45.0,56.0,25.0,0.014840623979511584,2.144506920509559,-0.41444787725490917,1.4324463924870705,39.59797974644666,59.088465180732484,39.597979746446654,10.418890660015819,94.57451137574893,0.0
21,MIH119_1022,24,2,1,CG119/CG108,LOCAL CHECK = LG5499VT2RIB,,,70,85.0,50.0,75.0,35.0,0.04883973825935422,1.7020005177911748,-0.10520491247354617,1.6731592696382294,57.45333323392335,79.87387276680222,48.209070726490445,29.07171218268184,107.2767316614455,0.0
23,MIH119_1024,26,2,1,CG119/CG108,CG119/CG108,,1.0,65,68.0,40.0,58.0,25.0,0.06604601151696501,1.799454966056695,-0.00038250826937572126,3.327240574222309,37.28168136181928,61.62892951849219,44.43057770090073,28.73804179836756,91.49317286634374,0.0
25,MIH119_1026,28,2,1,CG44/CGR01,CG44/CGR01,,1.0,70,61.0,45.0,58.0,25.0,0.014256401381760975,2.144506920509559,-0.15837987021051592,1.7358154829014736,41.01219330881976,57.321249867940416,41.012193308819754,20.863228742865793,87.85148870439852,0.0
28,MIH119_1029,30,3,1,F42/OH43,F42/OH43,,,75,59.0,35.0,58.0,30.0,0.6774778076656656,1.2127950320219432,-0.5699967055652378,1.274423337209444,33.26743330836068,56.98962375105503,47.51081856876152,15.270323661048725,98.5392163586288,0.0
29,MIH119_1030,29,3,1,F42/OH43,F42/H95,,1.0,60,64.0,35.0,57.0,30.0,0.6799897145891781,1.2127950320219432,-0.00339933851369259,2.67992597958236,32.69385687200963,55.42562584220408,46.69166652447253,31.999999999999996,86.00287472451953,0.0
30,MIH119_1031,28,3,1,F42/OH43,F42/MO17,,,55,66.0,35.0,61.0,30.0,0.6702463697855771,1.212795032021943,-0.0038927019722317913,2.727852781706984,34.98816261741381,54.06403492307346,49.9682747016285,37.85604479916904,85.28784679947222,0.0
32,MIH119_1033,26,3,1,F42/OH43,F42/H95,,,70,61.0,45.0,55.0,25.0,0.015149849353419086,2.144506920509559,-0.030294462807090194,2.192414623220698,38.890872965260115,57.321249867940416,38.89087296526011,20.863228742865793,85.16539140785059,0.0
33,MIH119_1034,25,3,1,F42/OH43,F42/OH43,,1.0,60,59.0,35.0,70.0,20.0,0.0471278847876014,1.9238044001630867,-1.1625738866722195,1.3272035853398758,40.15035054457323,51.095498823281886,57.34064310022943,29.499999999999996,102.9857258000836,0.0
34,MIH119_1035,24,3,1,H95/B14A,PHG39/PHN82,,,70,59.0,40.0,63.0,25.0,0.061821014087686935,1.7994549660566956,-0.7612102178904038,1.3340779809257195,40.49561941025198,55.4418646263686,48.260799916495614,20.179188456214455,97.28961961994844,0.0
35,MIH119_1036,23,3,1,H95/B14A,PHG39/PHN82,,,65,62.0,40.0,64.0,20.0,0.009309707897409909,2.3054072893322783,-0.1677350123912807,1.8119505275394554,41.13840701993852,56.1910827962723,49.02684435961459,26.202332227923364,96.3517665736098,0.0
36,MIH119_1037,22,3,1,Mo44/PHT69,Mo44/PHT69,,,65,57.0,45.0,60.0,25.0,0.01371383894712201,2.144506920509559,-1.1091250119004838,1.2620838307246853,42.42640687119285,51.65954386108905,42.426406871192846,24.08924091921987,83.84287341045705,0.0
37,MIH119_1038,21,3,1,Mo44/PHT69,Mo44/PHT69,,1.0,80,62.0,45.0,59.0,45.0,0.9999999999999998,1.0,-0.5588271387191566,1.355245200812247,41.71930009000631,61.058080686756895,41.7193000900063,10.766187015349681,95.8499962889918,0.0
38,MIH119_1039,20,3,1,Mo44_PHW65_0001/PHT69,Mo44_PHW65_0001/PHT69,WIPV17/30001,1.0,80,63.0,40.0,57.0,30.0,0.23289092722244886,1.4533631938113545,-0.42254308333293095,1.3445810692313813,36.638893752132745,62.04288843976911,43.66453325778175,10.939835193016611,99.7440170307423,0.0
39,MIH119_1040,19,3,1,Mo44_PHW65_0009/PHT69,Mo44_PHW65_0009/PHT69,WIPV17/30602,1.0,65,59.0,35.0,69.0,25.0,0.22568217507262006,1.5015999114836838,-0.9929398985475765,1.3147469300718613,39.57677410822218,53.47215943516235,56.52149105594044,24.93447744270127,104.9316810980399,0.0
40,MIH119_1041,18,3,1,Mo44_PHW65_0011/PHT69,Mo44_PHW65_0010/PHT69,WIPV17/30603,,70,59.0,40.0,58.0,30.0,0.23106185481299174,1.4533631938113545,-0.5644710645331287,1.2970127101420972,37.28168136181928,55.4418646263686,44.43057770090073,20.179188456214455,89.44743441428453,0.0
41,MIH119_1042,17,3,1,Mo44_PHW65_0012/PHT69,Mo44_PHW65_0012/PHT69,WIPV17/30005,1.0,125,58.0,40.0,41.0,40.0,1.191753592594209,1.0000000000000002,-0.7161302425034701,1.4755399667433813,26.354291997148113,47.51081856876152,31.4078221678781,-33.26743330836067,109.61900024052063,0.0
42,MIH119_1043,16,3,1,Mo44_PHW65_0012/PHT69,Mo44_PHW65_0037/PHT69,WIPV17/30620,,70,61.0,30.0,64.0,20.0,0.2270681260569788,1.5862568277145446,-0.051709787707185526,2.0128685532019004,32.00000000000001,57.321249867940416,55.42562584220407,20.863228742865793,110.16926060183414,0.0
43,MIH119_1044,15,3,1,Mo44_PHW65_0015/PHT69,Mo44_PHW65_0015/PHT69,WIPV17/30606,1.0,75,64.0,40.0,53.0,30.0,0.24070127304183414,1.4533631938113547,-0.031230502501654555,1.9997982755100827,34.067743313386586,61.81925288250037,40.60035548530583,16.564418886561327,92.13955753890025,0.0
45,MIH119_1046,13,3,1,Mo44_PHW65_0017/PHT69,Mo44_PHW65_0017/PHT69,WIPV17/30607,1.0,70,63.0,45.0,64.0,25.0,0.012737376223681344,2.144506920509559,-0.8534585529617957,1.261490458529421,45.254833995939045,59.200635109512234,45.25483399593904,21.54726902951713,95.08345377281935,0.0
46,MIH119_1047,12,3,1,Mo44_PHW65_0020/PHT69,Mo44_PHW65_0020/PHT69,WIPV17/30608,1.0,85,55.0,45.0,59.0,25.0,0.013980190010891739,2.144506920509559,-1.311795128979872,1.2984270053126539,41.71930009000631,54.790708395046,41.7193000900063,4.793565851121199,101.48845305401862,0.0
47,MIH119_1048,11,3,1,Mo44_PHW65_0024/PHT69,Mo44_PHW65_0024/PHT69,WIPV17/30610,1.0,60,59.0,30.0,62.0,25.0,0.764575204733568,1.2381316478352093,-0.11549103759206751,1.7812554050373104,31.000000000000007,51.095498823281886,53.693575034635195,29.499999999999996,94.81247839326679,0.0
48,MIH119_1049,10,3,1,Mo44_PHW65_0025/PHT69,Mo44_PHW65_0025/PHT69,WIPV17/30011,1.0,60,61.0,35.0,66.0,30.0,0.65910389753857,1.2127950320219432,-0.4955783308986022,1.4270285425402793,37.85604479916905,52.82754963085076,54.06403492307346,30.499999999999996,94.56276660558943,0.0
50,MIH119_1051,8,3,1,Mo44_PHW65_0031/PHT69,Mo44_PHW65_0031/PHT69,WIPV17/30015,1.0,55,67.0,35.0,65.0,20.0,0.05046732667274321,1.9238044001630872,-0.0012742386547941159,3.264037996530831,37.282468362818,54.88318696736245,53.244882878784466,38.42962123552009,92.98478936440992,0.0
51,MIH119_1052,7,3,1,Mo44_PHW65_0033/PHT69,Mo44_PHW65_0033/PHT69,WIPV17/30616,1.0,80,71.0,50.0,56.0,30.0,0.015367564542456384,2.064177772475912,-0.034889597648966354,1.9776397599428002,42.89848881466277,69.92135046386677,35.996106142446195,12.329020614352054,96.01262890228125,0.0
53,MIH119_1054,5,3,1,Mo44_PHW65_0034/PHT69,Mo44_PHW65_0034/PHT69,WIPV17/30017,1.0,70,51.0,40.0,55.0,30.0,0.23669289151772288,1.4533631938113545,-0.8595718546034236,1.3264220822728963,35.353318532759666,47.92432366008133,42.13244437154379,17.443027309609104,83.77148296266625,0.0
54,MIH119_1055,4,3,1,Mo44_PHW65_0035/PHT69,Mo44_PHW65_0035/PHT69,WIPV17/30618,1.0,80,63.0,50.0,56.0,30.0,0.015367564542456384,2.064177772475912,-0.5038284092866842,1.3233841898505498,42.89848881466277,62.04288843976911,35.996106142446195,10.939835193016611,90.38567272521313,0.0
55,MIH119_1056,3,3,1,Mo44_PHW65_0042/PHT69,Mo44_PHW65_0042/PHT69,WIPV17/30021,1.0,60,75.0,45.0,72.0,45.0,0.9999999999999999,1.0,-0.40164164303606814,1.3279409782367209,50.91168824543143,64.9519052838329,50.91168824543142,37.49999999999999,91.59526388738675,0.0
57,MIH119_1058,4,4,1,Mo44_PHW65_0056/PHT69,Mo44_PHW65_0056/PHT69,WIPV17/30625,1.0,80,63.0,43.0,55.0,22.0,0.009359944087969464,2.30805583031169,-0.03846019693531028,2.0734862266855774,37.50990980343742,62.04288843976911,40.22445358905438,10.939835193016611,98.62020360082259,0.0
58,MIH119_1059,5,4,1,Mo44_PHW65_0060/PHT69,Mo44_PHW65_0060/PHT69,WIPV17/30626,1.0,73,69.5,40.0,61.0,18.0,0.0035864277593655606,2.5824831209241417,-0.000729057959256297,3.176073231855013,39.210044190878904,66.46318053943097,46.72871103025766,20.3198334782302,107.51094949519216,0.0
59,MIH119_1060,6,4,1,Mo44_PHW65_0063/PHT69,Mo44_PHW65_0063/PHT69,WIPV17/30627,1.0,35,78.0,25.0,83.0,18.0,0.45605082731119656,1.4351474027623847,-0.02943662593762945,2.6245641327586484,35.077315724478055,44.7389620353816,75.22354632404195,63.893859454541364,99.9697581627033,0.0
60,MIH119_1061,7,4,1,Mo44_PHW65_0067/PHT69,Mo44_PHW65_0067/PHT69,WIPV17/30629,1.0,75,69.0,43.0,58.0,30.0,0.1116343922642663,1.6151635080148976,-0.044925322032166155,1.9106845198008335,39.55590488362491,66.64888201394571,42.41851469391189,17.85851411207393,97.441499770717,0.0
61,MIH119_1062,8,4,1,Mo44_PHW65_0069/PHT69,Mo44_PHW65_0069/PHT69,WIPV17/30631,1.0,70,67.0,45.0,58.5,32.0,0.10702239503133672,1.600334529041051,-0.05845881137091655,1.8729720425134733,41.36574669941303,62.95940559265586,41.36574669941302,22.915349602819802,89.31095697587118,0.0
62,MIH119_1063,9,4,1,Mo44_PHW65_0073/PHT69,Mo44_PHW65_0073/PHT69,WIPV17/30632,1.0,65,72.0,45.0,57.0,30.0,0.06680285438659815,1.7320508075688772,-7.621839896614432e-06,4.375310117780132,40.305086527633215,65.2541606666388,40.30508652763321,30.42851484533036,87.4791164811605,0.0
63,MIH119_1064,10,4,1,Mo44_PHW65_0074/PHT69,Mo44_PHW65_0068/PHT69,WIPV17/30030,,65,72.0,40.0,63.0,25.0,0.061821014087686935,1.7994549660566956,-0.0012631371278752444,2.97745705915711,40.49561941025198,65.2541606666388,48.260799916495614,30.42851484533036,98.18607774817886,0.0
64,MIH119_1065,11,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0080/PHT69,WIPV17/30634,,73,59.0,44.0,61.0,25.0,0.018735164527341547,2.0709262606321674,-0.8089966204299435,1.3222458518080296,42.37416059799884,56.4219806018191,43.87972782065771,17.249930578641465,94.37814641439272,0.0
65,MIH119_1066,12,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0083/PHT69,WIPV17/30635,,55,71.0,32.0,62.0,20.0,0.1309450249744884,1.716814434480121,-1.5328875330395827e-06,4.909049982163902,32.854994382458706,58.15979514451842,52.57898196169841,40.72392698092427,94.40656193484595,0.0
66,MIH119_1067,13,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0084/PHT69,WIPV17/30636,1.0,75,62.0,40.0,50.5,30.0,0.24603221882799234,1.4533631938113547,-0.02172707550167455,2.0983893704328076,32.46077428917024,59.88740122992223,38.68524437750839,16.046780796356288,88.5374014071815,0.0
67,MIH119_1068,14,4,1,Mo44_PHW65_0084/PHT69,Mo44_PHW65_0242/PHT69,WIPV17/30105,,65,62.0,38.0,57.0,24.0,0.08727026533902976,1.7547962480568813,-0.008297547523320936,2.5321696903907394,35.092704093562524,56.1910827962723,44.91661295558315,26.202332227923364,89.04766956621069,0.0
68,MIH119_1069,15,4,1,Mo44_PHW65_0092/PHT69,Mo44_PHW65_0092/PHT69,WIPV17/30637,1.0,75,70.0,40.0,64.0,25.0,0.06104756035060568,1.7994549660566954,-0.07522979718893004,1.8369370003117866,41.13840701993852,67.61480784023477,49.02684435961459,18.117333157176454,108.49603849765086,0.0
70,MIH119_1071,17,4,1,Mo44_PHW65_0098/PHT69,Mo44_PHW65_0098/PHT69,WIPV17/30639,1.0,75,62.0,40.0,64.0,23.0,0.03157896207671254,1.976794851270834,-0.6506764447155852,1.3392897888654696,41.13840701993852,59.88740122992223,49.02684435961459,16.046780796356288,105.17162964377503,0.0
71,MIH119_1072,18,4,1,Mo44_PHW65_0099/PHT69,Mo44_PHW65_0099/PHT69,WIPV17/30640,1.0,85,58.0,44.0,54.0,21.0,0.004257871836467237,2.5157052671474647,-0.30673416292275335,1.5626024772219007,37.511552004785855,57.77929248932124,38.84434921828716,5.055033079364174,98.12421431701085,0.0
72,MIH119_1073,19,4,1,Mo44_PHW65_0104/PHT69,Mo44_PHW65_0104/PHT69,WIPV17/30643,1.0,70,63.0,45.0,64.0,30.0,0.061371836185320605,1.732050807568877,-0.7291745035250953,1.3212146497121742,45.254833995939045,59.200635109512234,45.25483399593904,21.54726902951713,93.69445380462957,0.0
73,MIH119_1074,20,4,1,Mo44_PHW65_0105/PHT69,Mo44_PHW65_0105/PHT69,WIPV17/30644,1.0,67,63.0,40.0,66.0,30.0,0.21791511389792254,1.4533631938113547,-0.6413995458696675,1.347803895051183,42.4239822393116,57.99180576750374,50.55893324585255,24.616061094824243,97.57175863797133,0.0
75,MIH119_1076,22,4,1,Mo44_PHW65_0110/PHT69,Mo44_PHW65_0110/PHT69,WIPV17/30645,1.0,67,64.0,40.0,58.0,25.0,0.06604601151696501,1.799454966056695,-0.012588679208996855,2.3881562219023103,37.28168136181928,58.912310620956184,44.43057770090073,25.006792223313518,90.9807489899643,0.0
77,MIH119_1078,24,4,1,Mo44_PHW65_0115/PHT69,Mo44_PHW65_0115/PHT69,WIPV17/30648,1.0,73,63.0,40.0,55.0,25.0,0.06891063752762151,1.7994549660566952,-0.017059484330740886,2.251298425148298,35.353318532759666,60.24719962567124,42.13244437154379,18.419417397532413,93.33420082112553,0.0
78,MIH119_1079,25,4,1,Mo44_PHW65_0116/PHT69,Mo44_PHW65_0116/PHT69,WIPV17/30649,1.0,70,64.0,42.0,65.0,30.0,0.1345208368769477,1.5595455520643564,-0.4933020601807058,1.4154546594302269,43.49348941332578,60.14032773029814,48.30441365603062,21.889289172842798,98.02074700945047,0.0
79,MIH119_1080,26,4,1,Mo44_PHW65_0118/PHT69,Mo44_PHW65_0118/PHT69,WIPV17/30050,1.0,80,82.0,55.0,54.0,39.0,0.03877033660166797,1.7636159126370385,-0.0010292950533612657,2.6950243497653443,44.23421039160556,80.75423574700106,30.973127562956485,14.239150568688288,97.3790016371526,0.0
80,MIH119_1081,27,4,1,Mo44_PHW65_0120/PHT69,Mo44_PHW65_0120/PHT69,WIPV17/30651,1.0,70,54.0,45.0,57.0,23.0,0.006658387077425245,2.3558523658237536,-0.945057789538361,1.3387728244514445,40.305086527633215,50.74340152243906,40.30508652763321,18.46908773958611,85.05637815556683,0.0
81,MIH119_1082,28,4,1,Mo44_PHW65_0128/PHT69,Mo44_PHW65_0135/PHT69,WIPV17/30655,,80,67.0,46.0,61.0,30.0,0.048034261904040344,1.7935911162630085,-0.3894879952788516,1.4111503975480977,43.87972782065772,65.98211945181794,42.37416059799883,11.634427903684331,101.42818015981905,0.0
83,MIH119_1084,30,4,1,Mo44_PHW65_0134/PHT69,Mo44_PHW65_0134/PHT69,WIPV17/30654,1.0,65,75.0,42.0,65.0,25.0,0.03313723195362877,1.9309227042515134,-0.0006767412721996872,3.160917684307928,43.49348941332578,67.97308402774874,48.30441365603062,31.696369630552457,99.82373865070144,0.0
84,MIH119_1085,30,5,1,Mo44_PHW65_0134/PHT69,Mo44_PHW65_0111/PHT69,WIPV17/30646,,83,64.0,55.0,57.0,30.0,0.0024288128990614943,2.4736249084055615,-0.5876356796304585,1.3269450703520642,46.69166652447253,63.52295370504461,32.693856872009626,7.7996379779294385,90.64737284189815,0.0
88,MIH119_1089,26,5,1,Mo44_PHW65_0144/PHT69,Mo44_PHW65_0144/PHT69,WIPV17/30659,1.0,80,51.0,51.0,50.0,20.0,0.00012734926366946537,3.392852052928773,-0.7870460553167528,1.3813840352345463,38.85729807284854,50.22519540362261,31.466019552491876,8.856057061013447,80.63254018735503,0.0
89,MIH119_1090,25,5,1,Mo44_PHW65_0150/PHT69,Mo44_PHW65_0150/PHT69,WIPV17/30662,1.0,55,61.0,40.0,69.0,20.0,0.00843897210969908,2.3054072893322783,-1.7056762084616435,1.3613181746113197,44.352345068371214,49.9682747016285,52.85706657520948,34.988162617413806,92.20523035658131,0.0
90,MIH119_1091,24,5,1,Mo44_PHW65_0151/PHT69,Mo44_PHW65_0147/PHT69,WIPV17/30661,,75,62.0,45.0,56.0,23.0,0.006820107867909918,2.3558523658237536,-0.05233757302805393,2.0295731739320986,39.59797974644666,59.88740122992223,39.597979746446654,16.046780796356288,92.2091887336621,0.0
91,MIH119_1092,23,5,1,Mo44_PHW65_0151/PHT69,Mo44_PHW65_0151/PHT69,WIPV17/30663,1.0,80,82.0,41.0,53.0,21.0,0.012937753398136914,2.264569374768401,-4.782066093748347e-07,4.650153873558896,34.77112853649689,80.75423574700106,39.99960775180691,14.239150568688288,114.71097714390551,0.0
95,MIH119_1096,19,5,1,Mo44_PHW65_0159/PHT69,Mo44_PHW65_0159/PHT69,WIPV17/30667,1.0,80,67.0,45.0,45.0,25.0,0.019061290209559573,2.1445069205095586,-5.484556532007954e-05,3.629425327418284,31.81980515339464,65.98211945181794,31.819805153394636,11.634427903684331,90.58649143476347,0.0
